;;N;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;;98;99;100;101;102;103;104;105;106;107;108;109;;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;;180;;181;182;183;184;185;186;187;188;189;190;191;192;193
;;CN;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;1;2;1;2;3;4;5;6;7;8;;9;10;11;12;13;14;15;16;17;18;19;20;;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;;36;37;38;39;40;41;42;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;;1;;2;3;4;5;6;7;8;9;10;11;12;13;14
;;CONTINENT;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;AFRICA;LAC;LAC;LAC;LAC;LAC;LAC;LAC;LAC;LAC;LAC;LAC;LAC;LAC;LAC;LAC;LAC;LAC;LAC;LAC;LAC;LAC;LAC;LAC;LAC;LAC;LAC;LAC;LAC;LAC;LAC;LAC;LAC;LAC;NA;NA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;EUROPE;OCEANIA;OCEANIA;OCEANIA;OCEANIA;OCEANIA;OCEANIA;OCEANIA;OCEANIA;OCEANIA;OCEANIA;OCEANIA;OCEANIA;OCEANIA;OCEANIA;OCEANIA
;;COUNTRY;Algeria;Angola;Benin;Botswana;Burkina Faso;Burundi;Cameroon;Cape Verde ;Central African Republic;Chad;Comoros;Congo;Côte d'Ivoire;DRC ;Djibouti;Egypt;Equatorial Guinea;Eritrea;Eswatini;Ethiopia;Gabon;Gambia;Ghana;Guinea;Guinea-Bissau;Kenya;Lesotho;Liberia;Libya;Madagascar;Malawi;Mali;Mauritania;Mauritius;Morocco;Mozambique;Namibia;Niger;Nigeria;Rwanda;São Tome & Principe;Senegal;Seychelles;Sierra Leone;Somalia;South Africa ;South Sudan;Sudan;Tanzania;Togo;Tunisia;Uganda;Zambia;Zimbabwe;Antigua and Barbuda;Argentina ;Bahamas ;Barbados;Belize;Bolivia;Brazil;Costa Rica ;Chile ;Colombia ;Cuba ;Dominica;Dominican Republic ;Ecuador ;El Salvador ;Grenada;Guatemala ;Guyana;Haiti ;Honduras ;Jamaica;Mexico ;Nicaragua ;Panama ;Paraguay;Peru ;St Kitts & Nevis;St Lucia;St Vincent & the Grenadines;Suriname ;Trinidad and Tobago;Uruguay ;Venezuela;Canada;United States;Afghanistan;Bahrain;Bangladesh;Bhutan;Brunei Darussalam;Cambodia;China;East Timor ;Palestine (1);India;Indonesia (2);Iraq;Iran;Israel ;Japan ;Jordan ;Kazakhstan ;Kuwait;Kyrgyzstan ;Laos;Lebanon;Macau;Malaysia;Maldives;Mongolia ;Myanmar;Nepal ;North Korea;Oman;Pakistan;Philippines;Qatar;Saudi Arabia;Singapore;South Korea;Sri Lanka;Syria;Taiwan;Tajikistan ;Thailand ;Turkmenistan;Vietnam;United Arab Emirates;Uzbekistan;Yemen;Albania ;Andorra ;Armenia ;Austria ;Azerbaijan ;Belarus ;Belgium ;Bosnia and Herzegovina;Bulgaria ;Croatia ;Cyprus ;Czechia;Denmark ;Estonia ;Finland ;France ;Georgia ;Germany ;Greece ;Hungary ;Iceland ;Ireland;Italy ;Kosovo ;Latvia ;Liechtenstein ;Lithuania ;Luxembourg ;Malta ;Moldova ;Monaco ;Montenegro ;Netherlands ;North Macedonia;Norway ;Poland ;Portugal ;Romania ;Russia;San Marino ;Serbia ;Slovakia ;Slovenia ;Spain;Sweden ;Switzerland ;Turkey ;Ukraine ;United Kingdom;Vatican City;Australia;Cook Islands;Fiji ;Kiribati;Marshall Islands;Micronesia;New Zealand ;Nauru;Palau ;Papua New Guinea;Samoa;Solomon Islands;Tonga;Tuvalu;Vanuatu
CRIMINALISATION;CONSENSUAL SAME-SEX SEXUAL ACTS;Legal?;NO;YES;YES;NO;YES;NO;NO;YES;YES;NO;NO;YES;YES;YES;YES;DE FACTO ILLEGAL;YES;NO;NO;NO;YES;NO;NO;NO;YES;NO;YES;NO;NO;YES;NO;YES;NO;NO;NO;YES;NO;YES;NO;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES;YES;NO;YES;YES;YES;YES;YES;YES;YES;NO;YES;YES;YES;NO;YES;NO;YES;YES;NO;YES;YES;YES;YES;YES;NO;NO;NO;YES;YES;YES;YES;YES;YES;NO;YES;NO;NO;NO;YES;YES;YES;Y ;YES;YES;DE FACTO ILLEGAL;NO;YES;YES;YES;YES;NO;YES;YES;NO;Y;NO;NO;YES;NO;YES;YES;NO;NO;YES;NO;NO;NO;YES;NO;NO;Y;YES;YES;NO;YES;NO;NO;NO;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;Y ;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;Y ;YES;N;YES;NO;YES;YES;YES;YES;YES;NO;NO;NO;NO;NO;YES
;GENDER;Gender/s;ANY GENDER;DOES NOT APPLY;DOES NOT APPLY;ANY GENDER;DOES NOT APPLY;ANY GENDER;ANY GENDER;DOES NOT APPLY;DOES NOT APPLY;ANY GENDER;ANY GENDER;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;ANY GENDER;DOES NOT APPLY;ANY GENDER;MALE ONLY;ANY GENDER;DOES NOT APPLY;ANY GENDER;ANY GENDER;ANY GENDER;DOES NOT APPLY;MALE ONLY;DOES NOT APPLY;ANY GENDER;ANY GENDER;DOES NOT APPLY;ANY GENDER;DOES NOT APPLY;ANY GENDER;MALE ONLY;ANY GENDER;DOES NOT APPLY;MALE ONLY;DOES NOT APPLY;ANY GENDER;DOES NOT APPLY;DOES NOT APPLY;ANY GENDER;DOES NOT APPLY;MALE ONLY;ANY GENDER;DOES NOT APPLY;ANY GENDER;ANY GENDER;ANY GENDER;MALE ONLY;ANY GENDER;ANY GENDER;ANY GENDER;MALE ONLY;ANY GENDER;DOES NOT APPLY;DOES NOT APPLY;ANY GENDER;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;ANY GENDER;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;MALE ONLY;DOES NOT APPLY;MALE ONLY;DOES NOT APPLY;DOES NOT APPLY;MALE ONLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;MALE ONLY;ANY GENDER;ANY GENDER;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;ANY GENDER;DOES NOT APPLY;MALE ONLY;MALE ONLY;MALE ONLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;ANY GENDER;ANY GENDER;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;MALE ONLY;DOES NOT APPLY;DOES NOT APPLY;MALE ONLY;DOES NOT APPLY;ANY GENDER;ANY GENDER;DOES NOT APPLY;MALE ONLY;DOES NOT APPLY;DOES NOT APPLY;ANY GENDER;MALE ONLY;DOES NOT APPLY;ANY GENDER;ANY GENDER;MALE ONLY;DOES NOT APPLY;ANY GENDER;ANY GENDER;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;MALE ONLY;DOES NOT APPLY;ANY GENDER;MALE ONLY;ANY GENDER;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;M ONLY;DOES NOT APPLY;MALE ONLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;MALE ONLY;MALE ONLY;ANY GENDER;MALE ONLY;MALE ONLY;DOES NOT APPLY
;MAX PENALTY;Years in Prison / Other;2;DOES NOT APPLY;DOES NOT APPLY;7;DOES NOT APPLY;2;5;DOES NOT APPLY;DOES NOT APPLY;2;5;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;UNDETERMINED;DOES NOT APPLY;7;UNDETERMINED;3;DOES NOT APPLY;14;3;3;DOES NOT APPLY;14;DOES NOT APPLY;1;5;DOES NOT APPLY;14;DOES NOT APPLY;DEATH (NOT);5;3;DOES NOT APPLY;UNDETERMINED;DOES NOT APPLY;DEATH (REG);DOES NOT APPLY;DOES NOT APPLY;5;DOES NOT APPLY;10;DEATH (REG);DOES NOT APPLY;10;DEATH;FOR LIFE;3;3;FOR LIFE;FOR LIFE;1;15;DOES NOT APPLY;DOES NOT APPLY;FOR LIFE;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;10;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;10;DOES NOT APPLY;FOR LIFE;DOES NOT APPLY;DOES NOT APPLY;10;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;10;10;10;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DEATH (NOT);DOES NOT APPLY;10;1;10;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;UNDETERMINED;DEATH;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;7;DOES NOT APPLY;DOES NOT APPLY;1;DOES NOT APPLY;20;8;DOES NOT APPLY;10;DOES NOT APPLY;DOES NOT APPLY;3;DEATH (NOT);DOES NOT APPLY;DEATH (NOT);DEATH;2;DOES NOT APPLY;10;3;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;2;DOES NOT APPLY;DEATH (NOT);3;DEATH;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;5;DOES NOT APPLY;14;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;DOES NOT APPLY;7;7;14;10;14;DOES NOT APPLY
PROTECTION;PROTECTION AGAINST DISCRIMINATION;Constitutional;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N ;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO;NO;NO;N;NO;N;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO
;;Broad Protections;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES;YES;NO;YES;YES;NO;NO;NO;YES;NO;NO;NO;NO;NO;YES;NO;YES;NO;NO;NO;YES;NO;NO;NO;YES;NO;YES;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;N;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N ;NO;NO;YES;NO;YES;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO;N;NO;NO;NO;NO;NO;NO;NO;YES;YES;NO;YES;NO;NO;YES;YES;YES;YES;YES;YES;NO;YES;YES;YES;YES;YES;NO;YES;YES;YES;NO;Y ;NO;YES;YES;YES;YES;NO;NO;YES;YES;NO;YES;NO;YES;YES;NO;NO;YES;YES;YES;YES;YES;NO;NO;NO;YES;N;YES;N;YES;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO
;;Employment;NO;YES;NO;YES;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES;NO;YES;NO;NO;NO;NO;NO;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES;YES;NO;YES;YES;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;NO;YES;YES;NO;NO;YES;NO;YES;NO;YES;NO;YES;YES;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;N ;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO;Y;NO;NO;YES;NO;YES;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO;Y;NO;YES;NO;NO;NO;NO;NO;YES;YES;NO;YES;NO;NO;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;YES;Y;YES;YES;YES;YES;YES;YES;NO;YES;YES;YES;YES;YES;YES;YES;NO;NO;YES;YES;YES;YES;YES;YES;NO;YES;YES;N ;YES;Y;YES;YES;NO;NO;YES;NO;NO;NO;YES;NO;NO;NO;NO
;CRIMINALISATION OF VIOLENCE/DISCRIMINATION;Hate Crime / Aggr. Circs.;NO;YES;NO;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;YES;NO;NO;NO;YES;NO;NO;YES;YES;NO;NO;NO;YES;YES;NO;NO;NO;NO;YES;NO;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;NO;YES;YES;NO;NO;NO;NO;NO;NO;NO;YES;N ;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N ;NO;NO;YES;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;N ;NO;NO;NO;NO;NO;NO;NO;YES;YES;NO;NO;NO;NO;YES;YES;NO;YES;NO;NO;YES;NO;YES;YES;YES;NO;YES;YES;NO;NO;NO;Y ;NO;NO;YES;YES;YES;NO;NO;YES;NO;NO;YES;NO;YES;YES;NO;YES;YES;YES;NO;YES;NO;NO;NO;NO;YES;N ;NO;N;NO;NO;NO;NO;YES;NO;NO;NO;YES;NO;NO;NO;NO
